segment_id,n_raw,n_kept
mahatma-gandhi-marg_5873630_0,95,8
cariappa-marg_22834653_0,0,0
cariappa-marg_22834653_1,0,0
cariappa-marg_22834653_2,0,0
nh48_22897615_0,22,2
sabz-burj-circle_24563333_0,89,8
delhi-gurugram-expressway_24973559_0,93,8
delhi-gurugram-expressway_24973559_1,100,8
mahatma-gandhi-marg_25457965_0,100,8
mahatma-gandhi-marg_25524672_0,78,8
nh248bb_25524703_0,0,0
nelson-mandela-marg_25744612_0,0,0
delhi-gurugram-expressway_25878331_0,81,6
mehrauli-badarpur-road_26664726_0,0,0
nelson-mandela-marg_27422282_0,0,0
mahatma-gandhi-marg_28412393_0,0,0
mahatma-gandhi-marg_28412396_0,92,8
mahatma-gandhi-marg_28412397_0,0,0
mahatma-gandhi-marg_28412404_0,100,8
delhi-gurugram-expressway_28616600_0,100,8
delhi-gurugram-expressway_28616600_1,76,8
delhi-gurugram-expressway_28616601_0,100,8
delhi-gurugram-expressway_28616601_1,99,8
delhi-gurugram-expressway_28616604_0,95,8
delhi-gurugram-expressway_28616605_0,100,8
delhi-gurugram-expressway_28616606_0,0,0
nh48_28746242_0,18,2
mahatma-gandhi-marg_28746244_0,0,0
mahatma-gandhi-marg_28746244_1,94,8
mahatma-gandhi-marg_28746245_0,0,0
mahatma-gandhi-marg_28773614_0,0,0
mahatma-gandhi-marg_28773614_1,0,0
cariappa-marg_28773628_0,0,0
aurobindo-marg_29534879_0,0,0
aurobindo-marg_29534879_1,0,0
delhi-gurugram-expressway_31097489_0,97,8
delhi-gurugram-expressway_31097490_0,100,8
unnamed_31097494_0,0,0
ulan-batar-road_31097497_0,100,8
dwarka-expressway_31806390_0,56,8
dwarka-expressway_31806390_1,0,0
nh48_34404760_0,0,0
nh48_34404760_1,20,2
nh248bb_35307401_0,0,0
nh248bb_35307401_1,0,0
nh248bb_35307401_2,4,1
nh248bb_35307537_0,90,8
najafgarh-daurala-road_35310545_0,0,0
najafgarh-daurala-road_35310545_1,0,0
najafgarh-daurala-road_35310545_2,0,0
najafgarh-daurala-road_35310545_3,0,0
najafgarh-daurala-road_35310545_4,0,0
najafgarh-daurala-road_35310545_5,0,0
najafgarh-daurala-road_35310545_6,0,0
najafgarh-daurala-road_35310545_7,0,0
najafgarh-daurala-road_35310545_8,0,0
najafgarh-daurala-road_35310545_9,0,0
unnamed_35310546_0,0,0
unnamed_35310547_0,0,0
unnamed_35310548_0,0,0
unnamed_35310940_0,0,0
nangloi-road_35310941_0,0,0
najafgarh-nangloi-road_35310943_0,0,0
najafgarh-nangloi-road_35310943_1,0,0
najafgarh-nangloi-road_35311044_0,0,0
najafgarh-nangloi-road_35311044_1,0,0
