road,km,segments,czones,crashes_total,crashes_fatal,crashes_per_km,wl_points,wl_events,cv_covered_segs,cv_images,cv_detections,cv_damage_per_frame
Outer Ring Road,59.4,159,12,106,47,1.79,10,14,34,239,12,0.0502
Ring Road,66.7,212,11,122,36,1.83,19,26,71,476,20,0.042
unnamed,87.3,269,9,107,28,1.23,7,8,45,296,11,0.0372
Rohtak Road,34.7,53,6,56,21,1.62,9,18,0,0,0,
Vikas Marg,10.7,45,5,45,12,4.2,0,0,7,16,3,0.1875
Grand Trunk Road,29.0,76,3,30,11,1.03,2,2,0,0,0,
Nand Nagari Flyover,1.4,7,2,21,9,14.55,0,0,0,0,0,
Delhi–Dehradun Expressway,9.3,14,2,34,9,3.67,2,2,0,0,0,
Sachivalaya Road Flyover,3.3,10,2,17,8,5.1,1,1,3,8,0,0.0
NH44,0.4,4,1,18,7,44.67,0,0,0,0,0,
Bhalswa Flyover,1.7,10,1,11,6,6.6,1,1,0,0,0,
Delhi-Dehradun Expressway,28.1,79,1,10,5,0.36,3,3,0,0,0,
Swami Dayanand Marg,3.8,17,1,16,5,4.17,1,1,0,0,0,
Shalimar Bagh Flyover,3.0,8,1,10,5,3.28,1,1,0,0,0,
Club Road Flyover,2.3,10,1,7,5,3.01,0,0,2,14,1,0.0714
Delhi Loni Road Flyover,1.2,8,1,10,5,8.12,0,0,0,0,0,
Sabz Burj Circle,0.2,6,1,8,4,34.04,1,1,6,48,1,0.0208
Modi Mill Flyover,1.0,7,1,14,4,14.42,0,0,4,13,3,0.2308
Mangolpuri Flyover,6.6,24,1,9,4,1.37,1,1,0,0,0,
Shivaji Marg,3.1,12,1,7,4,2.24,0,0,0,0,0,
Punjabi Bagh Chowk,0.2,4,1,13,4,52.63,0,0,0,0,0,
Zakhira Flyover,3.0,8,2,21,4,6.91,5,10,0,0,0,
New Rohtak Road,6.7,11,1,6,4,0.9,0,0,0,0,0,
Raja Garden Flyover,2.5,7,1,16,4,6.41,2,2,7,56,2,0.0357
Shahdara Flyover,8.3,24,2,21,4,2.53,6,10,0,0,0,
Dabri Mor Flyover,1.9,6,1,7,4,3.71,0,0,0,0,0,
Cariappa Marg,9.2,22,1,5,3,0.54,2,6,0,0,0,
Nityanand Marg,2.8,14,1,4,3,1.44,5,7,8,59,0,0.0
Nizamuddin Railway Station Flyover,1.3,9,1,6,3,4.54,0,0,0,0,0,
Flyover,8.2,43,2,22,3,2.67,2,2,0,0,0,
Azadpur Flyover,1.4,8,1,7,3,4.99,1,4,0,0,0,
Mayur Vihar Flyover,2.6,10,1,4,3,1.56,0,0,0,0,0,
GT Road,5.8,20,1,3,3,0.52,1,1,5,24,13,0.5417
Palam Marg,2.9,12,1,7,3,2.44,1,1,8,38,0,0.0
Barapullah Road Flyover,4.3,18,1,10,3,2.3,6,8,0,0,0,
Urban Extension Road-II,75.4,173,1,4,3,0.05,2,4,13,82,10,0.122
Abdul Gaffar Khan Marg,13.3,38,1,7,3,0.53,3,3,10,76,3,0.0395
Anuvrat Marg,6.0,22,1,10,3,1.68,4,9,8,9,0,0.0
Rani Jhansi Flyover,3.5,11,1,12,3,3.45,1,5,0,0,0,
Bhagwan Mahavir Marg,4.0,5,1,9,3,2.26,0,0,0,0,0,
Lajpat Nagar Flyover,2.5,6,1,6,3,2.36,1,1,5,35,1,0.0286
Delhi-Gurugram Expressway,16.8,32,1,10,2,0.59,0,0,25,195,16,0.0821
Najafgarh Daurala Road,26.2,36,1,12,2,0.46,0,0,0,0,0,
Mahipalpur Flyover,4.0,10,1,11,2,2.73,1,1,10,79,5,0.0633
Moti Bagh Flyover,1.2,6,1,14,2,11.35,2,4,0,0,0,
NH48,3.3,10,0,0,0,0.0,0,0,3,6,1,0.1667
NH248BB,16.9,24,0,0,0,0.0,0,0,10,49,3,0.0612
Nelson Mandela Marg,8.4,22,0,0,0,0.0,2,6,1,1,0,0.0
Mehrauli Badarpur Road,21.9,56,0,0,0,0.0,8,17,15,99,2,0.0202
Aurobindo Marg,11.2,49,0,0,0,0.0,5,8,24,150,10,0.0667
Ulan Batar Road,1.4,3,0,0,0,0.0,0,0,3,22,0,0.0
Dwarka Expressway,29.4,45,0,0,0,0.0,1,1,31,207,20,0.0966
Nangloi Road,0.1,1,0,0,0,0.0,0,0,0,0,0,
Najafgarh Nangloi Road,11.7,22,0,0,0,0.0,2,2,0,0,0,
Nangloi road,7.5,13,0,0,0,0.0,0,0,0,0,0,
Rd. No. 224,1.9,4,0,0,0,0.0,0,0,4,32,5,0.1562
