segment_id,road,road_canonical,highway,km,mid_lon,mid_lat,czones,crashes_total,crashes_fatal,wl_points,wl_events,cv_images,cv_detections,cv_damage_per_frame,n_sources
mahatma-gandhi-marg_5873630_0,Mahatma Gandhi Marg,Ring Road,trunk,0.789,77.229959,28.676232,,,,,,8,0,0.0,1
cariappa-marg_22834653_0,Cariappa Marg,Cariappa Marg,primary,1.227,77.142846,28.598955,,,,1,5,0,,,1
cariappa-marg_22834653_1,Cariappa Marg,Cariappa Marg,primary,1.022,77.134489,28.602215,,,,1,1,0,,,1
cariappa-marg_22834653_2,Cariappa Marg,Cariappa Marg,primary,0.021,77.127702,28.604889,,,,,,0,,,0
nh48_22897615_0,NH48,NH48,trunk,0.17,77.147089,28.586441,,,,,,2,0,0.0,1
sabz-burj-circle_24563333_0,Sabz Burj Circle,Sabz Burj Circle,primary,0.073,77.244031,28.593211,,,,,,8,1,0.125,1
delhi-gurugram-expressway_24973559_0,Delhi-Gurugram Expressway,Delhi-Gurugram Expressway,motorway,1.039,77.146399,28.584829,,,,,,8,0,0.0,1
delhi-gurugram-expressway_24973559_1,Delhi-Gurugram Expressway,Delhi-Gurugram Expressway,motorway,0.119,77.144361,28.577521,,,,,,8,0,0.0,1
mahatma-gandhi-marg_25457965_0,Mahatma Gandhi Marg,Ring Road,primary,0.264,77.261615,28.574522,,,,,,8,0,0.0,1
mahatma-gandhi-marg_25524672_0,Mahatma Gandhi Marg,Ring Road,primary,0.483,77.240445,28.564943,,,,,,8,0,0.0,1
nh248bb_25524703_0,NH248BB,NH248BB,trunk,0.966,77.089151,28.538557,,,,,,0,,,0
nelson-mandela-marg_25744612_0,Nelson Mandela Marg,Nelson Mandela Marg,primary,0.709,77.168446,28.557095,,,,1,1,0,,,1
delhi-gurugram-expressway_25878331_0,Delhi-Gurugram Expressway,Delhi-Gurugram Expressway,motorway,0.38,77.097493,28.5207,,,,,,6,2,0.3333,1
mehrauli-badarpur-road_26664726_0,Mehrauli Badarpur Road,Mehrauli Badarpur Road,primary,0.33,77.203989,28.520282,,,,1,1,0,,,1
nelson-mandela-marg_27422282_0,Nelson Mandela Marg,Nelson Mandela Marg,primary,0.536,77.166589,28.555096,,,,,,0,,,0
mahatma-gandhi-marg_28412393_0,Mahatma Gandhi Marg,Ring Road,primary,0.984,77.218557,28.56874,,,,2,2,0,,,1
mahatma-gandhi-marg_28412396_0,Mahatma Gandhi Marg,Ring Road,primary,0.324,77.193964,28.569286,,,,,,8,0,0.0,1
mahatma-gandhi-marg_28412397_0,Mahatma Gandhi Marg,Ring Road,primary,0.947,77.181313,28.571204,,,,,,0,,,0
mahatma-gandhi-marg_28412404_0,Mahatma Gandhi Marg,Ring Road,primary,0.299,77.230087,28.565884,,,,,,8,0,0.0,1
