segment_id,road,way_id,highway,km,mid_lon,mid_lat
mahatma-gandhi-marg_5873630_0,Mahatma Gandhi Marg,5873630,trunk,0.789,77.229959,28.676232
cariappa-marg_22834653_0,Cariappa Marg,22834653,primary,1.227,77.142846,28.598955
cariappa-marg_22834653_1,Cariappa Marg,22834653,primary,1.022,77.134489,28.602215
cariappa-marg_22834653_2,Cariappa Marg,22834653,primary,0.021,77.127702,28.604889
nh48_22897615_0,NH48,22897615,trunk,0.17,77.147089,28.586441
sabz-burj-circle_24563333_0,Sabz Burj Circle,24563333,primary,0.073,77.244031,28.593211
delhi-gurugram-expressway_24973559_0,Delhi-Gurugram Expressway,24973559,motorway,1.039,77.146399,28.584829
delhi-gurugram-expressway_24973559_1,Delhi-Gurugram Expressway,24973559,motorway,0.119,77.144361,28.577521
mahatma-gandhi-marg_25457965_0,Mahatma Gandhi Marg,25457965,primary,0.264,77.261615,28.574522
mahatma-gandhi-marg_25524672_0,Mahatma Gandhi Marg,25524672,primary,0.483,77.240445,28.564943
nh248bb_25524703_0,NH248BB,25524703,trunk,0.966,77.089151,28.538557
nelson-mandela-marg_25744612_0,Nelson Mandela Marg,25744612,primary,0.709,77.168446,28.557095
delhi-gurugram-expressway_25878331_0,Delhi-Gurugram Expressway,25878331,motorway,0.38,77.097493,28.5207
mehrauli-badarpur-road_26664726_0,Mehrauli Badarpur Road,26664726,primary,0.33,77.203989,28.520282
nelson-mandela-marg_27422282_0,Nelson Mandela Marg,27422282,primary,0.536,77.166589,28.555096
mahatma-gandhi-marg_28412393_0,Mahatma Gandhi Marg,28412393,primary,0.984,77.218557,28.56874
mahatma-gandhi-marg_28412396_0,Mahatma Gandhi Marg,28412396,primary,0.324,77.193964,28.569286
mahatma-gandhi-marg_28412397_0,Mahatma Gandhi Marg,28412397,primary,0.947,77.181313,28.571204
mahatma-gandhi-marg_28412404_0,Mahatma Gandhi Marg,28412404,primary,0.299,77.230087,28.565884
delhi-gurugram-expressway_28616600_0,Delhi-Gurugram Expressway,28616600,motorway,1.344,77.133835,28.560935
delhi-gurugram-expressway_28616600_1,Delhi-Gurugram Expressway,28616600,motorway,0.581,77.131252,28.55255
delhi-gurugram-expressway_28616601_0,Delhi-Gurugram Expressway,28616601,motorway,1.016,77.13186,28.554416
delhi-gurugram-expressway_28616601_1,Delhi-Gurugram Expressway,28616601,motorway,0.52,77.133884,28.564967
delhi-gurugram-expressway_28616604_0,Delhi-Gurugram Expressway,28616604,motorway,0.914,77.104744,28.5311
delhi-gurugram-expressway_28616605_0,Delhi-Gurugram Expressway,28616605,motorway,0.623,77.104677,28.531271
delhi-gurugram-expressway_28616606_0,Delhi-Gurugram Expressway,28616606,motorway,0.321,77.094937,28.516553
nh48_28746242_0,NH48,28746242,trunk,0.369,77.148126,28.58698
mahatma-gandhi-marg_28746244_0,Mahatma Gandhi Marg,28746244,primary,1.035,77.182336,28.57093
mahatma-gandhi-marg_28746244_1,Mahatma Gandhi Marg,28746244,primary,0.078,77.186097,28.569996
mahatma-gandhi-marg_28746245_0,Mahatma Gandhi Marg,28746245,primary,0.449,77.20608,28.569594
mahatma-gandhi-marg_28773614_0,Mahatma Gandhi Marg,28773614,primary,1.017,77.171836,28.585627
mahatma-gandhi-marg_28773614_1,Mahatma Gandhi Marg,28773614,primary,0.206,77.169404,28.589331
cariappa-marg_28773628_0,Cariappa Marg,28773628,primary,0.449,77.122348,28.607068
aurobindo-marg_29534879_0,Aurobindo Marg,29534879,trunk,1.083,77.206656,28.557892
aurobindo-marg_29534879_1,Aurobindo Marg,29534879,trunk,0.283,77.207335,28.565015
delhi-gurugram-expressway_31097489_0,Delhi-Gurugram Expressway,31097489,motorway,0.337,77.143569,28.575776
delhi-gurugram-expressway_31097490_0,Delhi-Gurugram Expressway,31097490,motorway,0.961,77.144862,28.579764
unnamed_31097494_0,unnamed,31097494,primary,0.425,77.127168,28.567657
ulan-batar-road_31097497_0,Ulan Batar Road,31097497,primary,0.693,77.129384,28.56775
dwarka-expressway_31806390_0,Dwarka Expressway,31806390,trunk,1.041,77.047237,28.550558
dwarka-expressway_31806390_1,Dwarka Expressway,31806390,trunk,0.575,77.040391,28.542692
nh48_34404760_0,NH48,34404760,trunk,1.057,77.156215,28.58998
nh48_34404760_1,NH48,34404760,trunk,0.293,77.148739,28.586917
nh248bb_35307401_0,NH248BB,35307401,trunk,1.138,77.089144,28.538433
nh248bb_35307401_1,NH248BB,35307401,trunk,1.015,77.076432,28.541698
nh248bb_35307401_2,NH248BB,35307401,trunk,0.961,77.067635,28.543606
nh248bb_35307537_0,NH248BB,35307537,trunk,0.071,77.057205,28.547497
najafgarh-daurala-road_35310545_0,Najafgarh Daurala Road,35310545,primary,1.242,76.922302,28.53703
najafgarh-daurala-road_35310545_1,Najafgarh Daurala Road,35310545,primary,1.114,76.930999,28.549304
