segment_id,cv_images,cv_detections,cv_damage_per_frame
abdul-gaffar-khan-marg_1022338691_1,7,0,0.0
abdul-gaffar-khan-marg_1421988795_0,8,0,0.0
abdul-gaffar-khan-marg_1421988797_0,7,0,0.0
abdul-gaffar-khan-marg_1421988799_0,8,0,0.0
abdul-gaffar-khan-marg_533569871_0,8,1,0.125
abdul-gaffar-khan-marg_586684196_0,8,0,0.0
abdul-gaffar-khan-marg_605255385_0,8,1,0.125
abdul-gaffar-khan-marg_608989223_0,6,0,0.0
abdul-gaffar-khan-marg_755924313_0,8,1,0.125
abdul-gaffar-khan-marg_755924315_0,8,0,0.0
acharya-shri-tulsi-marg_760444564_4,2,0,0.0
anuvrat-marg_391981117_0,2,0,0.0
anuvrat-marg_560651110_0,1,0,0.0
anuvrat-marg_566009663_0,1,0,0.0
anuvrat-marg_566009665_1,1,0,0.0
anuvrat-marg_566465685_0,1,0,0.0
anuvrat-marg_566465687_0,1,0,0.0
anuvrat-marg_571450090_0,1,0,0.0
anuvrat-marg_571450094_0,1,0,0.0
ashram-flyover_39013524_0,8,0,0.0
ashram-railway-flyover_312031898_0,8,1,0.125
ashram-railway-flyover_312031900_0,8,0,0.0
ashram-railway-flyover_39013518_0,8,2,0.25
ashram-railway-flyover_39013520_0,8,0,0.0
ashram-railway-flyover_39013521_0,8,0,0.0
ashram-railway-flyover_44317039_0,8,1,0.125
ashram-railway-flyover_566680381_0,7,1,0.1429
ashram-underpass_1252762958_0,1,1,1.0
ashram-underpass_1252762959_0,1,1,1.0
ashram-underpass_1252762961_0,1,0,0.0
ashram-underpass_1252762962_0,1,0,0.0
ashram-underpass_1252762964_0,1,0,0.0
aurobindo-marg_1109186873_0,8,2,0.25
aurobindo-marg_150401885_0,8,0,0.0
aurobindo-marg_563714771_0,5,0,0.0
aurobindo-marg_563714774_0,1,0,0.0
aurobindo-marg_563714776_0,8,0,0.0
aurobindo-marg_566009664_0,1,0,0.0
aurobindo-marg_570413611_0,8,0,0.0
aurobindo-marg_570413612_0,8,1,0.125
aurobindo-marg_570413613_0,4,0,0.0
aurobindo-marg_570526063_0,8,0,0.0
aurobindo-marg_570526064_0,6,0,0.0
aurobindo-marg_578310005_0,3,1,0.3333
aurobindo-marg_578310008_0,8,1,0.125
aurobindo-marg_582367351_0,4,0,0.0
aurobindo-marg_590522603_0,8,0,0.0
