segment_id,wl_points,wl_events
abdul-gaffar-khan-marg_1022338692_1,1,1
abdul-gaffar-khan-marg_202672559_1,2,2
acharya-shri-tulsi-marg_42944885_1,1,1
anuvrat-marg_566009665_0,2,7
anuvrat-marg_566465687_0,1,1
anuvrat-marg_571450094_0,1,1
arihant-marg_78785551_0,1,2
aurobindo-marg_150401885_0,1,1
aurobindo-marg_570413612_0,1,1
aurobindo-marg_578310008_0,1,4
aurobindo-marg_77363987_0,2,2
azadpur-flyover_77629928_0,1,4
baba-banda-singh-bahadur-setu_170767284_1,1,1
baba-banda-singh-bahadur-setu_170767284_3,1,3
barapullah-road-flyover_1313239604_0,1,3
barapullah-road-flyover_1451905213_0,1,1
barapullah-road-flyover_176492659_0,1,1
barapullah-road-flyover_287658619_0,3,3
bhalswa-flyover_1312010666_0,1,1
cariappa-marg_22834653_0,1,5
cariappa-marg_22834653_1,1,1
ch-brahm-prakash-flyover_1312967346_0,1,1
delhi-dehradun-expressway_1253908163_0,1,1
delhi-dehradun-expressway_1466629067_0,1,1
delhi-dehradun-expressway_1494541911_0,1,1
delhi-dehradun-expressway_1494541912_0,1,1
delhi-dehradun-expressway_1499142540_0,1,1
delhi-road_1081069801_0,1,1
dnd-flyway_76849306_0,1,1
doctor-kailash-nath-katju-marg_1274613356_0,1,1
doctor-kailash-nath-katju-marg_300034123_1,2,2
doctor-kailash-nath-katju-marg_879145485_0,1,1
doctor-kb-hedgewar-marg_519440485_0,1,1
doctor-kb-hedgewar-marg_619372063_0,1,1
dwarka-expressway_1309546294_0,1,1
dwarka-flyover_47290489_0,1,5
dwarka-palam-road_47290494_1,1,1
flyover_1312995766_0,1,1
flyover_754391963_0,1,1
grand-trunk-road_1067482154_0,1,1
grand-trunk-road_1183847108_0,1,1
gt-road_175804082_0,1,1
ho-chi-minh-marg_541887313_0,1,1
ito-flyover_70220647_0,2,2
ito-flyover_70220654_0,1,1
lajpat-nagar-flyover_1313027076_0,1,1
loni-road_1205430081_0,1,1
loni-road_175803863_2,1,1
mahatma-gandhi-marg_1312963613_0,1,1
mahatma-gandhi-marg_1324343886_0,3,4
mahatma-gandhi-marg_1420874849_0,1,1
mahatma-gandhi-marg_202675176_0,1,1
mahatma-gandhi-marg_28412393_0,2,2
mahatma-gandhi-marg_585446270_0,1,2
mahatma-gandhi-marg_679552300_0,1,1
mahatma-gandhi-marg_70258948_1,1,1
mahatma-gandhi-marg_70258948_2,1,1
mahatma-gandhi-marg_77629944_0,1,1
mahatma-gandhi-marg_77629953_0,1,1
mahatma-gandhi-marg_77862398_0,2,3
mahatma-gandhi-marg_77868599_0,1,1
mahatma-gandhi-road_1510332181_0,1,1
mahipalpur-flyover_1312967333_0,1,1
