sno,road,location,dates,frequency
1,Africa Avenue Road,Both carriageway Madhav Rao Schindia Marg,01.09.2021,1
2,Akbar Road,"C-Hexagon, Akbar Road",28.07.2021,1
3,Anuvrat Marg,Lado Sarai towards City Hospital,13.07.2021,1
4,Anuvrat Marg,Near 100 Foota Road,01.09.2021,1
5,Ashok Vihar Road,Near Bartan Market towards Ashok Vihar,11.09.2021,1
6,Ashoka Road,Buta Singh Roundabout,31.08.2021,1
7,Ashoka Road,Gurudwara Bangla Sahib Bus Stand,08.08.2021,1
8,Ashoka Road,Near C-Hexagon,11.09.2021,1
9,Astha Kunj Road,Near EROS Mall,11.09.2021,1
10,Aurobindo Marg,AIIMS towards Barapulla Flyover,29.07.2021,1
11,Aurobindo Marg,IIT towards Mother International School,13.07.2021 31.08.2021,2
12,Aurobindo Marg,INA Towards AIIMS Underpass,29.07.2021 21.08.2021 11.09.2021,3
13,Aurobindo Marg,Near Adhchini towards MMTC,31.08.2021,1
14,Aurobindo Marg,Near Adhchini Village,11.09.2021,1
15,Aurobindo Marg,Near IIT / Adhchini Redlight,13.07.2021 19.07.2021 21.08.2021 11.09.2021,4
16,Aurobindo Marg,Near Malviya Nagar Metro Station,11.09.2021,1
17,Aurobindo Marg,PTS Malviya Nagar Redlight,08.08.2021,1
18,Aurobindo Marg,PTS towards Adhchini,13.07.2021,1
19,Banda Bahadur Marg,Near Batra Cinema,14.07.2021,1
20,Bawana Road,Near Bawana Village,11.09.2021,1
21,Bhairon Marg,Near Bhairon Mandir,11.09.2021,1
22,Boulevard Road,Infront of Tis Hazari Court,11.09.2021,1
23,Boulevard Road,Infront of Tis Hazari Metro Station,01.08.2021 01.09.2021,2
24,BSZ Marg,ITO Chowk,21.08.2021,1
25,Choudhary Fateh Singh Marg,Near P.S. Timarpur (both carriageway) / Wazirabad Road to Mall Road,29.07.2021 01.08.2021,2
26,Dabri Flyover,On the loop of the flyover coming from Dabri side,13.07.2021,1
27,DDU Marg (Deen Dayal Upadhyay Marg),W-Point,31.08.2021,1
28,Dr. Bhim Rao Ambedkar Road,"Bhim Gali, Malkaganj",01.08.2021 01.09.2021,2
29,Drain Road (Dabri-Dwarka),Drain Road at various locations between Power House and Dabri roundabout,13.07.2021,1
30,Dwarka Link Road,Dwarka Underpass,13.07.2021 19.07.2021 11.09.2021,3
31,Dwarka Road,Hanuman Mandir near Palam flyover / Towards Palam flyover from IOC Sadar Bazar,13.07.2021 19.07.2021 31.08.2021 01.09.2021 11.09.2021,5
32,Dwarka Road,Kirbi Place,19.07.2021,1
33,Dwarka Road,Road No. 224 & 210 Near Jal Board Booster pump,01.09.2021,1
34,Dwarka Road,"Sector-1, Dwarka Slip Road",11.09.2021,1
35,Girdhari Lal Goswami Marg,--,21.08.2021,1
36,Girdhari Lal Goswami Marg,Near Post Office Naraina,11.09.2021,1
37,GT Road / Old GT Road,Between Dharampura and Iron Bridge / near Iron Bridge,03.07.2021 14.07.2021 19.07.2021 29.07.2021 01.08.2021,5
38,GT Road / Old GT Road,Dharampura Seelampur,19.07.2021 28.07.2021,2
39,GT Road / Old GT Road,Near Seelampur Flyover (Shastri Park to Shahdara carriageway) / On the foot of Seelampur Flyover (ISBT to Apsara Border carriageway),03.07.2021 19.07.2021 28.07.2021 30.07.2021 01.08.2021,5
40,GT Road / Old GT Road,Near Welcome Metro Station towards Shyam Lal College both carriageway / near Shyam Lal College,01.08.2021,1
41,GT Road / Old GT Road,Shahdara Mandi,01.08.2021,1
42,GT Road / Old GT Road,Shastri Park to Shahdara carriageway,14.07.2021,1
43,GTK Road,Azad Pur underpass,13.07.2021 14.07.2021 01.08.2021 11.09.2021,4
44,GTK Road,Jahangirpuri both carriageway,14.07.2021,1
45,GTK Road,Libaspur Underpass,11.09.2021,1
46,GTK Road,Near GTK DTC Depot,03.09.2021 11.09.2021,2
47,GTK Road,Near Jahangir Puri Metro Station,11.09.2021,1
48,GTK Road,Shakti Nagar underpass,01.08.2021,1
49,Hardev Sahai Road,Near Kashmere Gate Metro Station,01.08.2021 11.09.2021,2
50,Inder Chandra Shastri Marg,Shakti Nagar Chowk,14.07.2021,1
51,Kanjhawala – Bawana Road,Near Kanjhawala Chowk,13.09.2021,1
52,Kanjhawala Road,Cygnus Hospital to Karala Chowk,19.07.2021,1
53,Kautilaya Marg,R/A Samrat Hotel Chanakya Puri,19.05.2021 01.09.2021,2
54,Kemal Attaturk Marg,Near Bhinder Point,11.09.2021,1
55,Khadak Singh Marg,Near GPO,31.08.2021,1
56,Khera Road,Near Khera Village Redlight,11.09.2021,1
57,Krishna Manan Marg,A-Block,31.08.2021,1
58,Lala Lajpat Rai Marg,Near Central School Greater Kailash,29.07.2021,1
59,Lala Lajpat Rai Marg,Near Lodhi Flyover both side,13.07.2021,1
60,Lala Lajpat Rai Marg,Near Moolchand Bus Stand,11.09.2021,1
61,Lala Lajpat Rai Marg,Near Moolchand Hospital,31.08.2021,1
62,Lampur – Narela Road,Lampur Underpass,11.09.2021,1
63,Lodhi Road,Near Bhishm Pitamah crossing,31.08.2021,1
64,M.B. Road (Mehrauli – Badarpur Road),Asian Market Khanpur M.B. Road,19.07.2021 13.09.2021,2
65,M.B. Road (Mehrauli – Badarpur Road),Khanpur T-Point to Hamdard T-Point both carriageway / Near RPS Colony Khanpur towards Badarpur Carriageway / Vayusenabad and Tigri on Khanpur to Badarpur carriageway,29.07.2021 30.07.2021 08.08.2021,3
66,M.B. Road (Mehrauli – Badarpur Road),Near Batra Hospital,13.09.2021,1
67,M.B. Road (Mehrauli – Badarpur Road),Near Saket Metro Station,31.08.2021,1
68,M.B. Road (Mehrauli – Badarpur Road),Near Sangam Vihar Redlight both carriageway,11.09.2021,1
69,M.B. Road (Mehrauli – Badarpur Road),Pul Prahladpur Underpass,13.07.2021 19.07.2021 30.07.2021 08.08.2021 21.08.2021 31.08.2021 11.09.2021,7
70,M.B. Road (Mehrauli – Badarpur Road),Sainik Farm Gali No. 2 Cariappa Marg,13.07.2021,1
71,M.G. Road (Mehrauli – Gurugram Road),Andheria Mor to M.G. Road,13.07.2021,1
72,M.G. Road (Mehrauli – Gurugram Road),Near Jain Mandir Qutub Minar,01.09.2021,1
73,Mahipalpur Road,Mahipalpur Underpass,11.09.2021,1
74,Man Singh Road,Towards Akhar Road,31.08.2021,1
75,Mathura Road,"Bhagwan Dass T-Point, Mathura Road",28.07.2021,1
76,Mathura Road,Mohan Estate,27.07.2021 21.08.2021,2
77,Mathura Road,Near Matka Peer & Bhagwan Dass Road,01.09.2021,1
78,Mathura Road,Near ZOO,01.09.2021,1
79,Mathura Road,Sarita Vihar Underpass,21.08.2021 11.09.2021,2
80,Maulana Azad Road,Infront of Vigyan Bhawan,31.08.2021,1
81,Minto Bridge Road,--,21.08.2021,1
82,MM Road,Spinal Injury,21.08.2021,1
